NT:100/PERM:1000/N_THREADS:2 0m6.092s
NT:100/PERM:3000/N_THREADS:2 0m35.324s
NT:100/PERM:5000/N_THREADS:2 0m59.243s
NT:100/PERM:7000/N_THREADS:2 1m23.073s
NT:100/PERM:9000/N_THREADS:2 1m33.680s
NT:500/PERM:1000/N_THREADS:2 0m27.564s
NT:500/PERM:3000/N_THREADS:2 1m20.495s
NT:500/PERM:5000/N_THREADS:2 2m9.393s
NT:500/PERM:7000/N_THREADS:2 3m5.191s
NT:500/PERM:9000/N_THREADS:2 4m2.283s
NT:1000/PERM:1000/N_THREADS:2 0m58.242s
NT:1000/PERM:3000/N_THREADS:2 2m44.429s
NT:1000/PERM:5000/N_THREADS:2 4m40.710s
NT:1000/PERM:7000/N_THREADS:2 6m28.607s
NT:1000/PERM:9000/N_THREADS:2 7m14.878s
NT:3000/PERM:1000/N_THREADS:2 2m48.125s
NT:3000/PERM:3000/N_THREADS:2 8m31.468s
NT:3000/PERM:5000/N_THREADS:2 13m49.240s
NT:3000/PERM:7000/N_THREADS:2 20m16.316s
NT:3000/PERM:9000/N_THREADS:2 26m31.430s
NT:5000/PERM:1000/N_THREADS:2 4m43.496s
NT:5000/PERM:3000/N_THREADS:2 12m42.203s
NT:5000/PERM:5000/N_THREADS:2 23m30.037s
NT:5000/PERM:7000/N_THREADS:2 32m39.831s
NT:5000/PERM:9000/N_THREADS:2 39m28.402s
