NT:100/PERM:1000/N_THREADS:8 0m14.747s
NT:100/PERM:3000/N_THREADS:8 1m7.131s
NT:100/PERM:5000/N_THREADS:8 1m27.137s
NT:100/PERM:7000/N_THREADS:8 1m55.994s
NT:100/PERM:9000/N_THREADS:8 1m59.823s
NT:500/PERM:1000/N_THREADS:8 1m2.124s
NT:500/PERM:3000/N_THREADS:8 3m10.018s
NT:500/PERM:5000/N_THREADS:8 5m16.098s
NT:500/PERM:7000/N_THREADS:8 7m14.517s
NT:500/PERM:9000/N_THREADS:8 9m32.478s
NT:1000/PERM:1000/N_THREADS:8 2m14.368s
NT:1000/PERM:3000/N_THREADS:8 6m40.374s
NT:1000/PERM:5000/N_THREADS:8 11m22.711s
NT:1000/PERM:7000/N_THREADS:8 15m0.699s
NT:1000/PERM:9000/N_THREADS:8 19m6.101s
NT:3000/PERM:1000/N_THREADS:8 7m18.431s
NT:3000/PERM:3000/N_THREADS:8 23m2.648s
NT:3000/PERM:5000/N_THREADS:8 38m3.893s
NT:3000/PERM:7000/N_THREADS:8 53m31.391s
NT:3000/PERM:9000/N_THREADS:8 68m37.340s
NT:5000/PERM:1000/N_THREADS:8 13m7.136s
NT:5000/PERM:3000/N_THREADS:8 37m31.310s
NT:5000/PERM:5000/N_THREADS:8 64m26.461s
NT:5000/PERM:7000/N_THREADS:8 89m11.317s
NT:5000/PERM:9000/N_THREADS:8 116m11.233s
